PRODUCT_ID,PRODUCT_MODEL,PRODUCT_MANUFACTURER,PRODUCT_STATUS,PRODUCT_QUANTITY,PRODUCT_PRICE,PRODUCT_IMAGE,PRODUCT_SKU,PRODUCT_UPC,PRODUCT_EAN,PRODUCT_JAN,PRODUCT_ISBN,PRODUCT_MPN,PRODUCT_DATEAVAILABLE,PRODUCT_WEIGHT,PRODUCT_LENGTH,PRODUCT_WIDTH,PRODUCT_HEIGHT,PRODUCT_DATEADDED,PRODUCT_DATEMODIFIED,PRODUCT_UPDATEDBY,PRODUCT_POINTS,PRODUCT_SHIPPING,PRODUCT_LOCATION,PRODUCT_SUBTRACT,PRODUCT_MINIMUM,PRODUCT_STOCKSTATUS
41,Product 14,8,true,975,100.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/imac_1.jpg,,,,,,,2009-02-03,3.00000000,0E-8,0E-8,0E-8,2009-02-03 21:07:26.0,2024-01-18 14:30:28.0,,0,true,,true,1,5
42,Product 15,8,true,990,100.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/apple_cinema_30.jpg,,,,,,,2009-02-04,4.00000000,1.00000000,2.00000000,3.00000000,2009-02-03 21:07:37.0,2024-01-18 14:33:18.0,,400,true,,true,2,5
43,Product 16,8,true,929,500.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/macbook_1.jpg,,,,,,,2009-02-03,2.00000000,0E-8,0E-8,0E-8,2009-02-03 21:07:49.0,2024-01-18 14:31:32.0,,0,false,,true,1,5
44,Product 17,8,true,999,1000.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/macbook_air_1.jpg,,,,,,,2009-02-03,2.00000000,0E-8,0E-8,0E-8,2009-02-03 21:08:00.0,2024-01-18 14:31:40.0,,0,true,,true,1,5
45,Product 18,8,true,998,2000.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/macbook_pro_1.jpg,,,,,,,2009-02-03,2.00000000,0E-8,0E-8,0E-8,2009-02-03 21:08:17.0,2024-01-18 14:31:48.0,,0,true,,true,1,5
46,Product 19,10,true,1000,1000.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/sony_vaio_1.jpg,,,,,,,2009-02-03,2.30000000,0E-8,0E-8,0E-8,2009-02-03 21:08:29.0,2024-01-18 14:32:54.0,,0,true,,true,1,5
47,Product 21,7,true,1000,100.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/hp_1.jpg,,,,,,,2009-02-03,3.00000000,0E-8,0E-8,0E-8,2009-02-03 21:08:40.0,2024-01-18 14:30:02.0,,400,true,,false,1,5
48,product 20,8,true,994,100.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/ipod_classic_1.jpg,test 1,,,,,,2009-02-08,0.10000000,0E-8,0E-8,0E-8,2009-02-08 17:21:51.0,2024-01-18 14:30:58.0,,0,true,test 2,true,1,5
49,SAM1,0,false,342,199.9900,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/samsung_tab_1.jpg,,,,,,,2011-04-25,0.40000000,0E-8,0E-8,0E-8,2011-04-26 08:57:34.0,2024-01-18 14:39:55.0,,0,true,,true,1,8
51,microSDXC,11,true,5200,22.9900,https://dev.opencart-demo.eu1.codbex.com/image/catalog/SanDisk-Ultra-microSDXC-128.png,,,3333,,,,2023-12-07,0.30000000,10.00000000,1.00000000,5.00000000,2023-12-07 15:49:32.0,2024-01-26 08:39:23.0,,0,true,,true,1,8
